year,ethnicity,abs,total_deaths,share,order,angle,radius,x,y
2000,bumi_malay,52018.0,100707.0,51.65281460077254,0,0.0,1.0,0.0,-1.0
2000,bumi_other,8164.0,100707.0,8.106685731875638,1,1.0471975511965976,0.16213371463751275,0.14041191568602293,-0.08106685731875639
2000,chinese,28281.0,100707.0,28.08245702880634,2,2.0943951023931953,0.5616491405761268,0.4864024237526232,0.2808245702880633
2000,indian,8563.0,100707.0,8.502884605836734,3,3.141592653589793,0.17005769211673466,2.0826060832114517e-17,0.17005769211673466
2000,other_citizen,1152.0,100707.0,1.1439125383538382,4,4.1887902047863905,0.022878250767076766,-0.019813146358439296,0.011439125383538393
2000,other_noncitizen,2529.0,100707.0,2.5112454943549105,5,5.235987755982989,0.05022490988709821,-0.043496047865011274,-0.025112454943549113
2000,bumi_malay,52018.0,100707.0,51.65281460077254,6,6.283185307179586,1.0,-2.4492935982947064e-16,-1.0
2010,bumi_malay,69399.0,130978.0,52.98523416146224,0,0.0,1.0,0.0,-1.0
2010,bumi_other,11586.0,130978.0,8.845760356701126,1,1.0471975511965976,0.1769152071340225,0.15321306369384943,-0.08845760356701127
2010,chinese,34813.0,130978.0,26.579272854983284,2,2.0943951023931953,0.5315854570996656,0.46036651013067337,0.2657927285498327
2010,indian,11124.0,130978.0,8.493029363709937,3,3.141592653589793,0.16986058727419873,2.080192245066371e-17,0.16986058727419873
2010,other_citizen,1091.0,130978.0,0.8329643146177221,4,4.1887902047863905,0.01665928629235444,-0.014427365138096816,0.008329643146177228
2010,other_noncitizen,2965.0,130978.0,2.2637389485257065,5,5.235987755982989,0.04527477897051413,-0.03920910873919071,-0.022637389485257068
2010,bumi_malay,69399.0,130978.0,52.98523416146224,6,6.283185307179586,1.0,-2.4492935982947064e-16,-1.0
2020,bumi_malay,85864.0,166970.0,51.424806851530214,0,0.0,1.0,0.0,-1.0
2020,bumi_other,18526.0,166970.0,11.095406360424029,1,1.0471975511965976,0.22190812720848058,0.19217807546877297,-0.11095406360424032
2020,chinese,44626.0,166970.0,26.726956938372165,2,2.0943951023931953,0.5345391387674433,0.4629244734896612,0.26726956938372154
2020,indian,13390.0,166970.0,8.019404683476074,3,3.141592653589793,0.16038809366952148,1.9641876553372532e-17,0.16038809366952148
2020,other_citizen,1612.0,166970.0,0.9654428939330418,4,4.1887902047863905,0.019308857878660837,-0.016721961440983587,0.009654428939330427
2020,other_noncitizen,2952.0,166970.0,1.7679822722644785,5,5.235987755982989,0.03535964544528957,-0.030622351224431486,-0.01767982272264479
2020,bumi_malay,85864.0,166970.0,51.424806851530214,6,6.283185307179586,1.0,-2.4492935982947064e-16,-1.0
2022,bumi_malay,108627.0,206525.0,52.597506355162814,0,0.0,1.0,0.0,-1.0
2022,bumi_other,21914.0,206525.0,10.61082193439051,1,1.0471975511965976,0.21221643868781018,0.18378482700430637,-0.10610821934390512
2022,chinese,53333.0,206525.0,25.823992252753904,2,2.0943951023931953,0.516479845055078,0.4472846663603483,0.2582399225275389
2022,indian,16935.0,206525.0,8.19997578985595,3,3.141592653589793,0.163999515797119,2.0084148208265757e-17,0.163999515797119
2022,other_citizen,2024.0,206525.0,0.9800266311584553,4,4.1887902047863905,0.019600532623169107,-0.016974559179370085,0.009800266311584562
2022,other_noncitizen,3692.0,206525.0,1.7876770366783683,5,5.235987755982989,0.03575354073356737,-0.03096347455051105,-0.017876770366783687
2022,bumi_malay,108627.0,206525.0,52.597506355162814,6,6.283185307179586,1.0,-2.4492935982947064e-16,-1.0
